"","YEAR","MONTH","DAY_OF_MONTH","CARRIER","ORIGIN","DEP_DELAY","ARR_DELAY","DISTANCE","X"
"373",2008,1,19,"OO","SUN",-14,-32,223,NA
"374",2008,1,20,"OO","DEN",2,2,826,NA
"375",2008,1,28,"WN","MCO",-4,5,1073,NA
"376",2008,1,14,"OO","DEN",44,42,212,NA
"377",2008,1,18,"EV","ATL",20,10,500,NA
"378",2008,1,8,"OO","SFO",-4,-7,326,NA
"379",2008,1,28,"XE","EWR",23,17,446,NA
"380",2008,1,29,"EV","ATL",145,126,227,NA
"381",2008,1,19,"UA","ORD",-1,-10,723,NA
"382",2008,1,30,"WN","BUF",NA,NA,468,NA
"383",2008,1,27,"OO","MKE",-11,-21,669,NA
"384",2008,1,23,"XE","EWR",-2,13,529,NA
"385",2008,1,26,"WN","RNO",64,57,335,NA
"386",2008,1,12,"DL","ATL",-4,-21,1900,NA
"387",2008,1,6,"WN","JAX",4,7,318,NA
"388",2008,1,31,"XE","STL",4,1,872,NA
"389",2008,1,8,"WN","PHX",2,-8,2075,NA
"390",2008,1,1,"EV","ICT",0,-25,781,NA
"391",2008,1,13,"OO","ACV",-7,-10,250,NA
"392",2008,1,2,"YV","ILM",-5,-4,185,NA
"393",2008,1,5,"WN","SDF",0,-9,495,NA
"394",2008,1,28,"WN","MCI",-7,-13,405,NA
"395",2008,1,6,"CO","DEN",3,-22,1605,NA
"396",2008,1,20,"US","LAS",0,-5,256,NA
"397",2008,1,21,"9E","IND",-3,-9,946,NA
"398",2008,1,5,"NW","MSP",4,8,908,NA
"399",2008,1,22,"US","DFW",-3,-14,1055,NA
"400",2008,1,28,"YV","OAK",-3,0,646,NA
"401",2008,1,5,"9E","CVG",15,4,596,NA
"402",2008,1,14,"FL","TPA",-7,-9,842,NA
"403",2008,1,1,"US","MCO",-1,-12,861,NA
"404",2008,1,16,"CO","IAH",14,7,1874,NA
"405",2008,1,17,"XE","EWR",4,-1,284,NA
"406",2008,1,6,"US","CLT",172,155,546,NA
"407",2008,1,21,"WN","LAX",11,3,236,NA
"408",2008,1,22,"WN","MCI",-4,-7,491,NA
"409",2008,1,30,"EV","HPN",-4,-23,780,NA
"410",2008,1,1,"WN","ONT",1,0,197,NA
"411",2008,1,4,"CO","EWR",-1,-4,404,NA
"412",2008,1,14,"MQ","LAX",-6,20,155,NA
"413",2008,1,19,"WN","ELP",-3,-11,636,NA
"414",2008,1,6,"WN","RNO",16,6,601,NA
"415",2008,1,18,"XE","GEG",5,16,936,NA
"416",2008,1,22,"DL","BWI",3,5,576,NA
"417",2008,1,19,"OO","SFO",-2,17,522,NA
"418",2008,1,29,"AA","MIA",-1,-3,1197,NA
"419",2008,1,22,"AA","STL",-3,-6,551,NA
"420",2008,1,30,"WN","DAL",5,3,239,NA
"421",2008,1,20,"MQ","DCA",2,6,214,NA
"422",2008,1,4,"DL","EGE",0,24,1312,NA
"423",2008,1,6,"YV","PHX",0,1,455,NA
"424",2008,1,9,"EV","HSV",0,-10,613,NA
"425",2008,1,14,"AA","DFW",NA,NA,1562,NA
"426",2008,1,8,"FL","FLL",-3,1,925,NA
"427",2008,1,24,"CO","PIT",22,24,1117,NA
"428",2008,1,28,"OO","AUS",-4,1,1085,NA
"429",2008,1,5,"AA","MIA",15,14,700,NA
"430",2008,1,27,"UA","IAD",NA,NA,589,NA
"431",2008,1,5,"XE","EWR",20,3,748,NA
"432",2008,1,7,"DL","MCO",-4,-8,403,NA
"433",2008,1,26,"9E","GRB",11,-2,288,NA
"434",2008,1,23,"CO","ATL",-6,-10,745,NA
"435",2008,1,1,"UA","ORD",62,66,1440,NA
"436",2008,1,27,"MQ","ABI",399,435,158,NA
"437",2008,1,15,"AS","ANC",49,44,1449,NA
